address,alias_if_known,auto_tier,red_flags_detected,validation_notes,portfolio_value_usd,trades_count,trades_capped,k_markets,l_categories,hhi_cat,win_rate_approx,first_trade,last_trade,days_active,trades_per_day_median,temporal_consistency,composite_score,polymarket_url
0x8597ca63e722d6216bfc3057591fdc67ec49daee,Mr-Krabs,A2_candidate,,"A2 : 1450 trades / 6 cat / 442j / portfolio $88,556",88556.3383,1450,False,412,6,0.3451,0.7062,2025-02-03,2026-04-22,442,3.0,0.6203,-0.322,https://polymarket.com/profile/0x8597ca63e722d6216bfc3057591fdc67ec49daee
0x16bd7cc71f6da1e77d1d8255677abc75b9bae288,ddalkkak,A2_candidate,,"A2 : 890 trades / 6 cat / 383j / portfolio $88,163",88163.0001,890,False,325,6,0.3149,0.7584,2025-04-03,2026-04-22,383,4.0,0.3047,-0.4917,https://polymarket.com/profile/0x16bd7cc71f6da1e77d1d8255677abc75b9bae288
0x40047c2a7f97b6849ec2a665425c171dc4b6c40b,0xrc,A2_candidate,,"A2 : 230 trades / 4 cat / 103j / portfolio $313,320",313320.1573,230,False,80,4,0.3303,0.9478,2026-01-08,2026-04-22,103,4,0.4386,-1.0328,https://polymarket.com/profile/0x40047c2a7f97b6849ec2a665425c171dc4b6c40b
0xed107a85a4585a381e48c7f7ca4144909e7dd2e5,bobe2,reject,erratic_activity,Reject : erratic_activity (2842 trades / 1088j),3596254.3684,2842,False,1132,6,0.297,0.9349,2023-04-29,2026-04-22,1088,4,0.2014,2.7448,https://polymarket.com/profile/0xed107a85a4585a381e48c7f7ca4144909e7dd2e5
0xdbade4c82fb72780a0db9a38f821d8671aba9c95,SwissMiss,reject,erratic_activity,Reject : erratic_activity (969 trades / 656j),1637043.446,969,False,313,6,0.3104,0.8834,2024-07-04,2026-04-22,656,3,0.1263,0.626,https://polymarket.com/profile/0xdbade4c82fb72780a0db9a38f821d8671aba9c95
0x6139c42e48cf190e67a0a85d492413b499336b7a,RememberAmalek,reject,erratic_activity,Reject : erratic_activity (3100 trades / 617j),477830.7463,3100,False,980,6,0.2909,0.7168,2024-08-12,2026-04-21,617,6,0.2808,0.5435,https://polymarket.com/profile/0x6139c42e48cf190e67a0a85d492413b499336b7a
0xc02147dee42356b7a4edbb1c35ac4ffa95f61fa8,Eatpraylove,reject,,"Reject : below thresholds (3100 trades / 165j / $1,002,549)",1002549.2642,3100,False,660,6,0.3062,0.6161,2025-11-07,2026-04-22,165,16.0,0.8841,0.4936,https://polymarket.com/profile/0xc02147dee42356b7a4edbb1c35ac4ffa95f61fa8
0x933ca00f565ba7130180e58fce4f965cc33ba8c6,PrimePenguin,reject,,"Reject : below thresholds (3100 trades / 193j / $17,456)",17456.3495,3100,False,1299,6,0.3838,0.8452,2025-10-10,2026-04-22,193,13,0.852,0.1541,https://polymarket.com/profile/0x933ca00f565ba7130180e58fce4f965cc33ba8c6
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,debased,reject,,"Reject : below thresholds (3100 trades / 135j / $620,377)",620377.1373,3100,False,356,6,0.3968,0.7645,2025-12-07,2026-04-22,135,16.0,0.8912,0.1194,https://polymarket.com/profile/0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1
0xd1c769317bd15de7768a70d0214cf0bbcc531d2b,033033033,reject,win_rate_too_high,Reject : win_rate_too_high (1473 trades / 531j),846831.8348,1473,False,517,5,0.2619,0.9728,2024-11-07,2026-04-22,531,3.0,0.4075,0.0878,https://polymarket.com/profile/0xd1c769317bd15de7768a70d0214cf0bbcc531d2b
0x8b4bca1d794779e66e023d44391b2a86c5ab541b,0x8B4bcA1D794779E66e023D44391B2A86C5ab541B-1769764313952,reject,,"Reject : below thresholds (490 trades / 81j / $1,650,210)",1650210.2291,490,False,168,5,0.2428,0.8939,2026-01-29,2026-04-21,81,4.0,0.6384,0.0199,https://polymarket.com/profile/0x8b4bca1d794779e66e023d44391b2a86c5ab541b
0x21064fd320bfd5a86f8c92a94d3209edf4154dea,rainbowlilies,reject,anti_pattern,Reject : anti_pattern (1936 trades / 258j),30434.1255,1936,False,1274,6,0.2822,0.1978,2025-08-06,2026-04-22,258,5,0.7548,-0.0255,https://polymarket.com/profile/0x21064fd320bfd5a86f8c92a94d3209edf4154dea
0xd6a8f78e03f156228fb87fcb8bafea5b92fa58fd,rocky42005,reject,anti_pattern,Reject : anti_pattern (2594 trades / 300j),8539.9331,2594,False,908,6,0.4299,0.2749,2025-06-25,2026-04-22,300,7.0,0.7217,-0.0416,https://polymarket.com/profile/0xd6a8f78e03f156228fb87fcb8bafea5b92fa58fd
0xb48ef6deecd526c0974c35e1f7b5c3bbd12fa144,100x,reject,erratic_activity,Reject : erratic_activity (150 trades / 1117j),460800.5174,150,False,75,6,0.3617,0.8133,2023-03-31,2026-04-22,1117,2.0,0.0228,-0.0952,https://polymarket.com/profile/0xb48ef6deecd526c0974c35e1f7b5c3bbd12fa144
