address,username,pnl_lifetime_usd,trades_count,specialty,source_url,notes
0x9d84ce0306f8551e02efef1680475fc0f1dc1344,Domer,2500000,9582,"Politics, geopolitics, culture, all-around",,"#1 all-time Polymarket. Username actuel: ImJustKen. >$420M bets cumulés. Ex-poker pro mid-2000s + stock trader. Trading prediction markets depuis 2007. Hors US. Joined Jan 2022."
0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,Aenews,,,Culture,,"Compte principal: aenews2. $12.1M biggest win. 2497 predictions. Joined Jan 2024. Autres comptes: @aenews (inactif), @aenews-r2 (inactif Aug 2021). Enrichi via API."
0xd1acd3925d895de9aec98ff95f3a30c5279d08d5,Kickstand7,,1289,,,"Respecté depuis 2021 (PolyNoob). $453K positions. $128K biggest win. Joined Nov 2021. Enrichi via API."
0xf2f6af4f27ec2dcf4072095ab804016e14cd5817,gopfan2,,1977,Weather markets,,"Top weather-market trader. $724K positions. $920K biggest win. Joined Aug 2024. Enrichi via API."
0xa4b366ad22fc0d06f1e934ff468e8922431a87b8,HolyMoses7,,3218,,,"Challenge $1→$1M (bio). $165K positions. $117K biggest win. Joined Dec 2024. Enrichi via API."
0xc2e7800b5af46e6093872b177b7a5e7f0563be51,Beachboy4,3050000,176,Sports (NFL/NBA),,"$213.6M volume. $3.49M biggest win. $3.05M lifetime P&L (API). Joined Nov 2025. Enrichi via API."
,Wintermute,,,Market making (institutionnel),,"Profil @wintermute pas le bon ($144K volume). Adresse institutionnelle non publique."
,Jump Trading,,,Market making (institutionnel),,"Equity stakes Kalshi ET Polymarket contre liquidité (Bloomberg fév 2026)."
,Susquehanna,,,Market making (institutionnel),,"Market maker Kalshi."
